Refined_Formal_Name,Original-QID,Second-Query_QID,Third-Query_QID,Original-Refined_Category,Original-Status/Notes,Second-Query_Label,Second-Query_Description,Second-Query_Logic,Third-Query_Label,Third-Query_Description,Third-Query_Logic
Frescoes in Sant'Andrea della Valle,,Q1631593,,Work,[Validation] Domenichino/Lanfranco 壁画。,Sant'Andrea della Valle,Wikipedia Search Result,Smart Match via 'Frescoes in Sant'Andrea della Valle': Sant'Andrea della Valle (79.3),,,
Frescoes in the Corsini Chapel,,,Q468405,Work,[Validation] 罗马 Lateran 或佛罗伦萨 Carmine。,,,No results found,Lateran,building complex in Rome,Deep Match via 'Lateran' (From Notes): Lateran (Score: 95.0)
Frescoes in the Palazzo Doria Pamphilj (Valmontone),,,Q25125948,Work,[Validation] Preti/Mola 壁画。,,,No results found,Preti,family name,Deep Match via 'Preti' (From Notes): Preti (Score: 95.0)
Gabriele Balestrieri,,,,Person,[Validation] 帕尔马画家 (或相关人物)。,,,No results found,,,
Gabriele Emo / Giovanni Emo,,,Q16116177,Person,[Disambiguation] 威尼斯行政官。最著名的是 Gabriele Emo 或 Giovanni Emo。保留泛指或标记需确认。,,,No results found,Gabriele Emo,,Deep Match via 'Gabriele Emo' (From Notes): Gabriele Emo (Score: 95.0)
Gaetano Majorano (Caffarelli),,,Q21482920,Person,[Disambiguation] 阉伶歌手 Caffarelli。,,,No results found,Caffarelli,family name,Deep Match via 'Caffarelli' (From Notes): Caffarelli (Score: 95.0)
Galleria Giustiniani,,Q4813374,,Work/Place,[Context] 可能是指 Giustiniani 收藏目录 (Work) 或宫殿画廊 (Place)。,Athena Giustiniani,Wikipedia Search Result,Smart Match via 'Galleria Giustiniani': Athena Giustiniani (78.9),,,
Galleria L'Antonina,,,,Place,[Validation] 罗马古董店/画廊。,,,No results found,,,
Gallery of the Aeneid (Palazzo Buonaccorsi),,,,Place,[Validation] 马切拉塔的埃涅阿斯画廊。,,,No results found,,,
"Gaspar de Haro, 7th Marquess of Carpio",,Q380763,,Person,[Category Fix] 原文误标为 Work。西班牙总督/收藏家。,"Gaspar Méndez de Haro, 7th Marquess of Carpio",Wikipedia Search Result,"Smart Match via 'Gaspar de Haro, 7th Marquess of Carpio': Gaspar Méndez de Haro, 7th Marquess of Carpio (91.6)",,,
Gaspare Partridge,,,Q104791624,Person,[Check Original] 可能是 English artist in Italy? 或 Joseph Partridge? 待定。,,,No results found,Joseph Partridge,"(American, 1792–1833)",Deep Match via 'Joseph Partridge' (From Notes): Joseph Partridge (Score: 95.0)
Gaspare Patriarch,,,Q123054369,Person,[Category Fix] 原文误标为 Man-Made Object。可能是 Gaspare Patriarchi (误拼) 或 Patriarch Gaspare (头衔倒置)。,,,No results found,Man-Made Object,song by Lemon Demon,Deep Match via 'Man-Made Object' (From Notes): Man-Made Object (Score: 95.0)
Gasparo Altieri,,,Q7299999,Person,[Reconstruction] 名字倒装复原。,,,No results found,ReConStruction,"science fiction convention held in Raleigh, NC, USA",Deep Match via 'Reconstruction' (From Notes): ReConStruction (Score: 95.0)
"George ""Dadie"" Rylands",,Q5208082,,Person,[Validation] 英国戏剧导演/学者 (Cambridge)。,Dadie Rylands,Wikipedia Search Result,"Smart Match via 'George ""Dadie"" Rylands': Dadie Rylands (74.3)",,,
Gerard van der Bos,,,,Person,[Validation] 可能是指 Gerard van den Bossche? 或类似拼写。,,,No results found,,,
German patronage,,,,Concept,[Validation] 艺术赞助。,,,No results found,,,
Gesuati (Order) / Santa Maria del Rosario (Gesuati),,,Q1140419,Group/Place,[Ambiguity] 可能是耶稣会修士会 (已解散) 或威尼斯 Gesuati 教堂。在 E74 Group 中指修会。,,,No results found,ambiguity,type of uncertainty of meaning in which several interpretations are plausible,Deep Match via 'Ambiguity' (From Notes): ambiguity (Score: 95.0)
Gherardo Sagredo,,,Q1112591,Person,威尼斯贵族（Sagredo 家族）。,,,No results found,Sagredo,family name,Deep Match via 'Sagredo' (From Notes): Sagredo (Score: 95.0)
Giacomo della Lena,,,,Person,[Validation] 威尼斯外交官/作家 (西班牙宫廷)。,,,No results found,,,
Giambattista Biffi,,,Q7299999,Person,[Reconstruction] 18世纪克雷莫纳作家。 | [Validation] 克雷莫纳作家。,,,No results found,ReConStruction,"science fiction convention held in Raleigh, NC, USA",Deep Match via 'Reconstruction' (From Notes): ReConStruction (Score: 95.0)
Giovanelli Collection,,,Q123054369,Organization/Group,[Category Fix] 原文误标为 Man-Made Object。,,,No results found,Man-Made Object,song by Lemon Demon,Deep Match via 'Man-Made Object' (From Notes): Man-Made Object (Score: 95.0)
Giovanni Andrea Armanni,,,Q1071027,Person,[Full Name] 19世纪教皇国官员/学者 (Gubbio)。,,,No results found,full name,set of names by which an individual is known,Deep Match via 'Full Name' (From Notes): full name (Score: 95.0)
Giovanni Angelo da Camerino,,Q3106999,,Person,[Validation] 画家。,Giovanni Angelo d'Antonio,Wikipedia Search Result,Smart Match via 'Giovanni Angelo da Camerino': Giovanni Angelo d'Antonio (76.9),,,
Giovanni Antonio Armanni,,,,Person,[Validation] 历史人物。,,,No results found,,,
Giovanni Battista Fontanella,,,,Person,[Validation] 人物 (可能是威尼斯人)。,,,No results found,,,
Giovanni Domenico Brustoloni,,,Q7299999,Person,[Reconstruction] 威尼斯版画家 (无需 Don)。,,,No results found,ReConStruction,"science fiction convention held in Raleigh, NC, USA",Deep Match via 'Reconstruction' (From Notes): ReConStruction (Score: 95.0)
Giovanni Francesco Sacchetti,,,Q7200212,Person,[Category Fix] 原文误标为 Place。,,,No results found,Place,family name,Deep Match via 'Place' (From Notes): Place (Score: 95.0)
Giovanni Gasparo Baldoini,,,Q1071027,Person,[Full Name] 建筑师/工程师。 | [Reconstruction] 名字倒装复原。,,,No results found,full name,set of names by which an individual is known,Deep Match via 'Full Name' (From Notes): full name (Score: 95.0)
Giovanni Stefano Roccatagliata,,,,Person,[Validation] 17世纪热那亚银匠/雕塑家? 需确认。,,,No results found,,,
Giovanni de' Cattanei,,Q233178,,Person,[Check Original] 可能是 Giovanni Cattaneo (雕刻家) 或 Giovanni de' Cattanei (建筑师)。,Vannozza dei Cattanei,Wikipedia Search Result,Smart Match via 'Giovanni de' Cattanei': Vannozza dei Cattanei (76.2),,,
Girolamo Garganego,,,,Person,[Validation] 维罗纳/威尼斯雕塑家? 或是 Girolamo Garganico? 需确认。Garganego 可能是威尼斯贵族。,,,No results found,,,
Girolamo Teodoli,,Q5552392,,Person,[Category Fix] 原文误标为 Man-Made Object。侯爵/建筑师。,Gerolamo Theodoli,Wikipedia Match,Smart Match via 'Girolamo Teodoli': Gerolamo Theodoli (90.9),,,
Giulia Maidalchini,,,Q4741451,Person,[Ambiguous] 可能是误指 Olimpia Maidalchini 或 Pamphilj 家族其他女性。,,,No results found,Ambiguous,2003 film by Toshiya Ueno,Deep Match via 'Ambiguous' (From Notes): Ambiguous (Score: 95.0)
Giuliano Colonna (Prince of Stigliano),,,,Person,[Validation] 贵族。,,,No results found,,,
Giuliano Vacchelli,,,,Person,,,,No results found,,,
Giulio della Greca,,,,Person,[Validation] 可能是版画家/画家 (较小众)。,,,No results found,,,
Giuseppe Angelo Maria Carron (Marquis of Aigueblanche),,,,Person,[Validation] 萨伏伊外交官。,,,No results found,,,
Giuseppe Antonio Lotti,,Q168345,,Person,[Validation] 18世纪佛罗伦萨人物? 需区分 Antonio Lotti (作曲家)。,Antonio Lotti,Wikipedia Search Result,Smart Match via 'Giuseppe Antonio Lotti': Antonio Lotti (74.3),,,
Giuseppe Chiari / Tommaso Chiari,,Q3107986,,Person,[Split Required] 兄弟/父子画家。Giuseppe Chiari 是主要人物。,Giuseppe Bartolomeo Chiari,Wikipedia Search Result,Smart Match via 'Giuseppe Chiari / Tommaso Chiari': Giuseppe Bartolomeo Chiari (75.9),,,
Giuseppe Fochessati,,,Q49317,Person,[Validation] 曼图亚艺术写作者 (Gonzaga)。,,,No results found,Gonzaga,municipality of the Philippines in the province of Cagayan,Deep Match via 'Gonzaga' (From Notes): Gonzaga (Score: 95.0)
Giuseppe Lorenzo Moncallero,,,,Person,[Validation] 历史学家。,,,No results found,,,
Giuseppe Toninotto,,,,Person,[Validation] 18世纪威尼斯出版商?。,,,No results found,,,
Giuseppe de Rosis,,Q15812370,,Person,,Giuseppe de Rossi (archbishop of Acerenza e Matera),Wikipedia Match,Smart Match via 'Giuseppe de Rosis': Giuseppe de Rossi (archbishop of Acerenza e Matera) (94.1),,,
Gloria Chiarini de Anna,,,,Person,[Validation] 现代学者。,,,No results found,,,
Glorification of the Pisani Family,,,Q2060988,Work,[Validation] 提埃坡罗壁画 (Villa Pisani)。,,,No results found,Villa Pisani,"palace and museum in Stra, Veneto, Italy",Deep Match via 'Villa Pisani' (From Notes): Villa Pisani (Score: 95.0)
Glory of Venice,,,,Concept/Work,[Validation] 展览标题或概念 (Gory of Venice: Art in the Eighteenth Century)。,,,No results found,,,
God creating the Angels / Parnassus,,,Q2715152,Work,[Validation] 拉斐尔签字厅壁画 (The Parnassus 和天顶画)。,,,No results found,The Parnassus,fresco by Raphael,Deep Match via 'The Parnassus' (From Notes): The Parnassus (Score: 95.0)
Gordon Albion,,,,Person,[Validation] 历史学家。,,,No results found,,,
Gran Tempio Antico,,,,Work,[Validation] 可能是画作标题 (The Great Ancient Temple) 或描述。,,,No results found,,,
Grassi Collection,,,,Organization/Group,[Validation] 艺术收藏。,,,No results found,,,
Great Witley Church (St Michael and All Angels),,,Q4767190,Place,"[OCR Fix] ""Great WitleyWatson"" -> ""Great Witley"" (Watson可能是作者名误粘)。",,,No results found,Great Witley,"village and parish in Worcestershire, England",Deep Match via 'Great Witley' (From Notes): Great Witley (Score: 95.0)
Guidalocti Franchini,,,,Person,"[Check Original] 极生僻。可能是 ""Guidalotti Franchini""? 待定。",,,No results found,,,
Habsburg Collections (Prague),,,,Organization/Group,[Validation] 鲁道夫二世收藏。,,,No results found,,,
Habsburg Patronage,,,,Concept,[Validation] 艺术赞助。,,,No results found,,,
Hans Albrecht von Derschau?,,,Q37572942,Person,"[Check] ""Joachim von Derschau"" 可能是指普鲁士收藏家 Hans Albrecht von Derschau? 或者 Joachim von Sandrart 的亲戚? 搜索指向 19世纪收藏家 Hans Albrecht von Derschau。",,,No results found,Check,family name,Deep Match via 'Check' (From Notes): Check (Score: 95.0)
Hebrew Women singing after crossing the Red Sea,,,Q111821788,Work,[Validation] 绘画主题。,,,No results found,Crossing the Red Sea,painting by Wilhelm Kotarbiński,Deep Match via 'crossing the Red Sea' (Segment): Crossing the Red Sea (Score: 90.0)
Heroes approaching the Temple of Immortality,,,,Work,[Validation] 绘画主题。,,,No results found,,,
Hilda Finberg,,,Q182664,Person,[Validation] 艺术史学家 (Canaletto)。,,,No results found,Canaletto,Italian painter of landscapes (1697–1768),Deep Match via 'Canaletto' (From Notes): Canaletto (Score: 95.0)
Historic e di Maniera Veneziana,,,,Concept,[Validation] 艺术风格描述 (History painting in Venetian manner)。,,,No results found,,,
Hugues-Humbert Servien,,,Q104537734,Person,"[OCR Fix] ""Abb谷"" -> ""Abbé""。Servien 家族成员，克莱门特九世的侍从。",,,No results found,Servien,family name,Deep Match via 'Servien' (From Notes): Servien (Score: 95.0)
"Illustration for ""Newtonianismo per le dame""",,,,Work,[Category Fix] 阿尔加罗蒂著作的封面插图。,,,No results found,,,
Illustrations for De Bello Belgico,,,Q2531858,Work,[Validation] Famiano Strada 书籍的插图。,,,No results found,Famiano Strada,Italian historian (1572-1649),Deep Match via 'Famiano Strada' (From Notes): Famiano Strada (Score: 95.0)
Illustrations for Latin Poems,,,Q64873683,Work,[Validation] 可能是 Barberini 的诗集插图。,,,No results found,Barberini,family name,Deep Match via 'Barberini' (From Notes): Barberini (Score: 95.0)
Images of Palladian Architecture,,Q264649,,Work,[Validation] 可能是书籍或版画集。,Palladian architecture,Wikipedia Search Result,Smart Match via 'Images of Palladian Architecture': Palladian architecture (81.5),,,
Imago Primi Saeculi Societatis Jesu,,,,Work,[Validation] 耶稣会书籍。,,,No results found,,,
Indecency in art,,,,Concept,[Validation] 艺术史议题。,,,No results found,,,
Influence of late 17th-century wars on art patronage,,,,Concept,[Category Fix] 历史/艺术史概念。,,,No results found,,,
Interior of Sant'Andrea al Quirinale,,Q1354667,,Work,[Validation] 画作/版画主题 (Panini等)。,Sant'Andrea al Quirinale,Wikipedia Search Result,Smart Match via 'Interior of Sant'Andrea al Quirinale': Sant'Andrea al Quirinale (80.0),,,
Jacopo Pedozzi,,,,Person,[Validation] 灰泥艺术家 (18世纪)。,,,No results found,,,
Jacques Duyvelant,,,Q7299999,Person,[Reconstruction] 佛兰芒画家。 | [Validation] 17世纪佛兰芒画家 (Antwerp)。,,,No results found,ReConStruction,"science fiction convention held in Raleigh, NC, USA",Deep Match via 'Reconstruction' (From Notes): ReConStruction (Score: 95.0)
Jacques Tubeuf,,,Q25680625,Person,[Validation] 收藏家 (Poussin赞助人)。,,,No results found,Poussin,family name,Deep Match via 'Poussin' (From Notes): Poussin (Score: 95.0)
Jesuit Archives,,,,Place/Organization,[Validation] 档案机构。,,,No results found,,,
Johann Adalbert Veith,,,,Person,波希米亚/奥地利画家。,,,No results found,,,
"Johann Georg III, Elector of Saxony",,Q454483,,Person,[Validation] 萨克森选帝侯。,"John George III, Elector of Saxony",Wikipedia Search Result,"Smart Match via 'Johann Georg III, Elector of Saxony': John George III, Elector of Saxony (95.7)",,,
"Johann Wilhelm, Elector Palatinate",,Q64266,,Person,[Disambiguation] 普法尔茨选帝侯。 | [Validation] 同上。,"Johann Wilhelm, Elector Palatine",Wikipedia Search Result,"Smart Match via 'Johann Wilhelm, Elector Palatinate': Johann Wilhelm, Elector Palatine (97.0)",,,
John Breval,,Q3181013,,Person,[Reconstruction] 英国作家/旅行家。,John Beal (composer),Wikipedia Match,Smart Match via 'John Breval': John Beal (composer) (90.0),,,
Joint caricature of Simonelli and Mola,,,Q1178471,Work,[Validation] 讽刺画。,,,No results found,Mola,genus of fishes,Deep Match via 'Mola' (Segment): Mola (Score: 80.0)
"Juan de Tassis y Peralta, 2nd Count of Villamediana",,Q4111408,,Person,[Full Name] 西班牙诗人/外交官。,"Juan de Tassis, 2nd Count of Villamediana",Wikipedia Search Result,"Smart Match via 'Juan de Tassis y Peralta, 2nd Count of Villamediana': Juan de Tassis, 2nd Count of Villamediana (89.1)",,,
"Juno, Goddess of Air",,,,Work/Person,[Validation] 寓意画主题。,,,No results found,,,
Jupiter among the Corybantes,,,,Work,[Validation] 绘画主题。,,,No results found,,,
Jupiter giving Suck,,,Q79932428,Work,[Validation] 绘画主题 (可能是 Jupiter Suckled by the Goat Amalthea 的误读或变体)。,,,No results found,Jupiter Suckled by the Goat Amalthea,"print by Giulio Bonasone (Italian, c. 1510-aft 1576) (1980.97)",Deep Match via 'Jupiter Suckled by the Goat Amalthea' (From Notes): Jupiter Suckled by the Goat Amalthea (Score: 95.0)
Jupiter handed over by Cybele to the Corybantes,,,,Work,[Validation] 绘画主题。,,,No results found,,,
Jupiter sending down his Thunderbolts,,,Q215305,Work,[Validation] 绘画主题 (Giulio Romano等)。,,,No results found,Giulio Romano,Italian painter and architect (1499–1546),Deep Match via 'Giulio Romano' (From Notes): Giulio Romano (Score: 95.0)
Justinus (Historian) / Justin Martyr,,,Q1140419,Person,[Ambiguity] 可能是历史学家查士丁或殉道者查士丁。,,,No results found,ambiguity,type of uncertainty of meaning in which several interpretations are plausible,Deep Match via 'Ambiguity' (From Notes): ambiguity (Score: 95.0)
King Solomon Bathing,,,Q29017592,Work,"[Validation] 绘画主题 (可能指 Bathsheba?) 需确认。Solomon usually doesn't bathe in art. Maybe ""Bathsheba bathing""? or ""Susanna""?",,,No results found,Bathsheba,"painting by Artemisia Gentileschi, Viviano Codazzi and Domenico Gargiulo",Deep Match via 'Bathsheba' (From Notes): Bathsheba (Score: 105.0)
King's College Library,,Q245247,,Place,[Validation] 图书馆。,King's College London,Wikipedia Search Result,Smart Match via 'King's College Library': King's College London (74.4),,,
L'Inondazione del Tevere,,,,Work,[Validation] 画作标题。,,,No results found,,,
L'Osservatore Veneto,,,Q21449971,Work,[Category Fix] 报刊名（Gozzi 等人创办）。,,,No results found,Gozzi,family name,Deep Match via 'Gozzi' (From Notes): Gozzi (Score: 95.0)
"La Beata Vergine in Egitto, e S. Giuseppe",,,,Work,[Validation] 绘画主题。,,,No results found,,,
La Burla del Piovano Arlotto,,,Q7940791,Work,[Validation] 画作标题 (Volterrano/Giovanni da San Giovanni)。,,,No results found,Volterrano,"human settlement in Città di Castello, Province of Perugia, Umbria, Italy",Deep Match via 'Volterrano' (From Notes): Volterrano (Score: 95.0)
La Chiesa di Gesù Cristo vendicata...,,,,Work,[Validation] 书籍标题。,,,No results found,,,
La Galleria di Minerva,,,Q126916,Work,"[OCR Fix] ""Minervat VI"" -> ""Minerva, t. VI"" (期刊/丛书)。",,,No results found,Minerva,"Roman goddess of wisdom and sponsor of arts, trade, and defense",Deep Match via 'Minerva' (From Notes): Minerva (Score: 95.0)
La rissa all'Ambasciata di Spagna,,,,Work,[Validation] 绘画主题 (The Brawl at the Spanish Embassy)。,,,No results found,,,
Labia Collection,,,Q123054369,Organization/Group,[Category Fix] 原文误标为 Man-Made Object。,,,No results found,Man-Made Object,song by Lemon Demon,Deep Match via 'Man-Made Object' (From Notes): Man-Made Object (Score: 95.0)
Le Arti che vanno per via nella città di Venezia,,,Q99982055,Work,[Validation] Zompini 版画集 (Venetian Cries)。,,,No results found,Zompini,family name,Deep Match via 'Zompini' (From Notes): Zompini (Score: 95.0)
Le Fabbriche e Vedute di Venetia,,,Q71158447,Work,[Validation] Carlevarijs 版画集。,,,No results found,Carlevarijs,family name,Deep Match via 'Carlevarijs' (From Notes): Carlevarijs (Score: 95.0)
Leonardo Pasqueti,,,,Person,[Validation] 人物。,,,No results found,,,
Leonardo Pasquetti,,,,Person,,,,No results found,,,
Leonardo Pesaro,,Q6526057,,Person,[Validation] 威尼斯贵族。,Leonardo Pekarnik,Wikipedia Match,Smart Match via 'Leonardo Pesaro': Leonardo Pekarnik (81.2),,,
Leonardo Valmarana,,Q58242549,,Person,[Validation] 贵族。 | 帕拉迪奥的赞助人。,Loggia Valmarana,Wikipedia Search Result,Smart Match via 'Leonardo Valmarana': Loggia Valmarana (76.5),,,
Leto turning the Shepherds into Frogs,,,,Work,[Validation] 绘画主题。,,,No results found,,,
Lita-Rose Betcherman,,,Q2462938,Person,[Validation] 作家/历史学家 (Balthasar Gerbier)。,,,No results found,Balthazar Gerbier,"Anglo-Dutch courtier, diplomat (1592–1663)",Deep Match via 'Balthasar Gerbier' (From Notes): Balthazar Gerbier (Score: 89.4)
Lodovico Gabrielli,,,Q21493802,Person,"[OCR Fix] ""Gabrieli"" -> ""Gabrielli"" (可能)。也有可能是 Lodovico Gabriel。",,,No results found,Gabrieli,family name,Deep Match via 'Gabrieli' (From Notes): Gabrieli (Score: 95.0)
Lodovico Rezzonico,,Q1052171,,Person,[Validation] 威尼斯贵族 (Procuratore)。,Ca' Rezzonico,Wikipedia Search Result,Smart Match via 'Lodovico Rezzonico': Ca' Rezzonico (71.0),,,
Lorenzo del Rosso,,,,Person,[Validation] 建筑师。,,,No results found,,,
Luca Bartolotti,,,,Person,[Validation] 人物。,,,No results found,,,
Luca Ombrosi,,,,Person,[Validation] 18世纪佛罗伦萨作家 (Life of Gian Gastone)。,,,No results found,,,
Lucchese Community,,Q281284,,Group,[Category Fix] 原文误标为 Place。,Lucchese crime family,Wikipedia Search Result,Smart Match via 'Lucchese Community': Lucchese crime family (71.8),,,
Lucien Marcheix,,,,Person,[Validation] 历史学家 (19世纪)。,,,No results found,,,
Luigi Teodoli,,,,Person,[Validation] 建筑师? 或客户。,,,No results found,,,
M. de Bordeaux,,Q37878,,Person,[Validation] 人物 (法国外交官?)。,Dogue de Bordeaux,Wikipedia Search Result,Smart Match via 'M. de Bordeaux': Dogue de Bordeaux (77.4),,,
Marchands-amateurs,,,Q123054369,Concept,[Category Fix] 原文误标为 Man-Made Object。指“业余艺术商”这一特定历史群体/概念。,,,No results found,Man-Made Object,song by Lemon Demon,Deep Match via 'Man-Made Object' (From Notes): Man-Made Object (Score: 95.0)
Marchese Raggi,,,Q57232940,Person,可能是 Lorenzo Raggi 或该家族成员（如 Bernini 的赞助人），保留头衔。,,,No results found,Lorenzo Raggi,Italian geneticist,Deep Match via 'Lorenzo Raggi' (From Notes): Lorenzo Raggi (Score: 95.0)
Marchese Ruspoli,,,Q123054369,Person,[Category Fix] 原文误标为 Man-Made Object。Francesco Maria Ruspoli 等。,,,No results found,Man-Made Object,song by Lemon Demon,Deep Match via 'Man-Made Object' (From Notes): Man-Made Object (Score: 95.0)
Marchigian town,,,,Place,泛指马尔凯大区的城镇。,,,No results found,,,
Marguerite Calberg,,,Q1071027,Person,"[Full Name] ""Melle""即Mlle，比利时纺织/艺术史学者。",,,No results found,full name,set of names by which an individual is known,Deep Match via 'Full Name' (From Notes): full name (Score: 95.0)
Maria Elena Ghelli,,,,Person,,,,No results found,,,
Maria Pamphilj,,Q1203458,,Person,[Spelling Fix] 标准化拼写为 Pamphilj (Olimpia Maidalchini 的女儿等)。,Galleria Doria Pamphilj,Wikipedia Search Result,Smart Match via 'Maria Pamphilj': Galleria Doria Pamphilj (70.3),,,
Mario D'Orsi,,,,Person,现代艺术评论家/学者。,,,No results found,,,
Mark Samuel Weil,Q125296744,,,Person,现代艺术史学家（巴洛克雕塑研究）。,,,No results found,,,
Marriage Allegory of the Rezzonico Family,,,Q63380855,Work,[Category Fix] 提埃坡罗在 Ca' Rezzonico 的天顶画。,,,No results found,Ca' Rezzonico,ACTV stop in Venice,Deep Match via 'Ca' Rezzonico' (From Notes): Ca' Rezzonico (Score: 95.0)
Martirii patiti dai Santi Martiri per la confessione di Cristo,,,Q16884393,Work,[Typo Fix] 书籍/版画集标题，安东尼奥·坦佩斯塔（Tempesta）等人的作品。,,,No results found,Tempesta,family name,Deep Match via 'Tempesta' (From Notes): Tempesta (Score: 95.0)
Martyrdom of Saint John the Bishop,,,Q628,Work,[Category Fix] 可能是 Bergamo 的 Tiepolo 画作（St John of Bergamo）。,,,No results found,Bergamo,"comune in Lombardy, Italy",Deep Match via 'Bergamo' (From Notes): Bergamo (Score: 95.0)
María Antonieta Gatas,,,Q23006895,Person,"[OCR Fix] ""Mar赤a"" -> ""María""。Gatas 可能是 Gallas 或类似拼写，保留原词待查，或是现代学者名。",,,No results found,Gatas,mountain in Cape Verde,Deep Match via 'Gatas' (From Notes): Gatas (Score: 95.0)
Matteo da Città di Castello,,Q729485,,Person,[Reconstruction] 文艺复兴建筑师。,Diocese of Città di Castello,Wikipedia Search Result,Smart Match via 'Matteo da Città di Castello': Diocese of Città di Castello (72.7),,,
Matteo del Teglia,,,,Person,托斯卡纳外交官/代理人。,,,No results found,,,
Mattia Rosichino,,,Q323034,Person,[Disambiguation] 17世纪巴贝里尼宫画廊的管理者（guardaroba）和导览手册作者。,,,No results found,garderobe,"room in medieval castles, usually for toilet",Deep Match via 'guardaroba' (From Notes): garderobe (Score: 70.0)
Medici Villa of Poggio a Caiano,,Q733389,,Place,美第奇别墅。,Villa di Poggio a Caiano,Wikipedia Search Result,Smart Match via 'Medici Villa of Poggio a Caiano': Villa di Poggio a Caiano (90.0),,,
Mercury awaking Aeneas,,,,Work,[Category Fix] 画作主题（如提埃坡罗作品）。,,,No results found,,,
Michele Lauretano,,,,Person,17世纪耶稣会士（Collegio Romano 院长）。,,,No results found,,,
Mina Pajes Merriman,,,Q528620,Person,艺术史学家（Giuseppe Maria Crespi 专家）。,,,No results found,Giuseppe Maria Crespi,Italian painter (1665–1747),Deep Match via 'Giuseppe Maria Crespi' (From Notes): Giuseppe Maria Crespi (Score: 95.0)
Mississippi Gallery,,Q15961641,,Organization,[Context] 需结合具体语境，可能是现代博物馆（Mississippi Museum of Art）或误读。,Mississippi Museum of Art,Wikipedia Search Result,Smart Match via 'Mississippi Gallery museum': Mississippi Museum of Art (73.6),,,
Modello for the Apotheosis of St Ignatius,,,Q380103,Work,[Category Fix] 波佐（Andrea Pozzo）的草稿。,,,No results found,Andrea Pozzo,painter of the Late Baroque (1642-1709),Deep Match via 'Andrea Pozzo' (From Notes): Andrea Pozzo (Score: 95.0)
Modello for the Glory of St Aloysius Gonzaga,,,,Work,[Category Fix] 波佐的草稿。,,,No results found,,,
Mola painting the portrait of Pope Alexander VII,,,Q1178471,Work,[Category Fix] 乔瓦尼·巴蒂斯塔·高利（Baciccio）或 Mola 的画作。,,,No results found,Mola,genus of fishes,Deep Match via 'Mola' (From Notes): Mola (Score: 95.0)
Monsieur de Saint-Sauveur,,,Q1123462,Person,[Context] 可能是法国外交官或相关人物。,,,No results found,ConTeXt,general-purpose document processor,Deep Match via 'Context' (From Notes): ConTeXt (Score: 95.0)
Monsignor Olivieri,,,Q3063732,Person,可能是 Fabio Olivieri (红衣主教) 等。,,,No results found,Fabio degli Abati Olivieri,Italian cardinal (1658-1738),Deep Match via 'Fabio Olivieri' (From Notes): Fabio degli Abati Olivieri (Score: 66.5)
Monument to Doge Giovanni Pesaro,,,Q19902284,Work,[Category Fix] 位于 Frari 教堂的陵墓雕塑。,,,No results found,Frari,family name,Deep Match via 'Frari' (From Notes): Frari (Score: 95.0)
Monument to Pope Gregory XV,,Q132692,,Work,[Category Fix] 墓葬雕塑（如 Le Gros 的作品）。,Pope Gregory XV,Wikipedia Search Result,Smart Match via 'Monument to Pope Gregory XV': Pope Gregory XV (71.4),,,
Monument to the 1st Duke of Marlborough,,Q153803,,Work,[Category Fix] 里斯伯勒（Rysbrack）在布伦海姆宫的作品。,"John Churchill, 1st Duke of Marlborough",Wikipedia Search Result,"Smart Match via 'Monument to the 1st Duke of Marlborough': John Churchill, 1st Duke of Marlborough (71.8)",,,
Moses Trampling on Pharaoh's Crown,,,Q37452990,Work,"[Typo Fix] ""Pharoah"" -> ""Pharaoh""。普桑等人的画作主题。",,,No results found,Pharoah,family name,Deep Match via 'Pharoah' (From Notes): Pharoah (Score: 95.0)
Mostra dei Remondini,,,,Event,[Category Fix] 1958年在巴萨诺举办的重要展览。,,,No results found,,,
Mostra del Tiepolo,,,,Event,[Category Fix] 1971年在乌迪内举办的提埃坡罗大展。,,,No results found,,,
Mourners at Tomb of Francesco Algarotti in Pisa,,,,Work,[Category Fix] 特定画作或版画主题。,,,No results found,,,
Mucius Scaevola at the Altar,,,,Work,[Category Fix] 穆齐奥·斯凯沃拉历史画主题。,,,No results found,,,
Murals at Windsor Castle,,Q42646,,Work,[Category Fix] 温莎城堡壁画（如 Verrio 的作品）。,Windsor Castle,Wikipedia Search Result,Smart Match via 'Murals at Windsor Castle': Windsor Castle (73.7),,,
Murals for the Vienna Residence,,,,Work,[Category Fix] 可能是指列支敦士登宫或其他维也纳宫殿壁画。,,,No results found,,,
Museo della Torre di San Marco,,,,Organization,[Category Fix] 可能是特定的小型博物馆，需确认具体城市。,,,No results found,,,
Napoleonic government,,Q151060,,Organization,[Context] 指拿破仑统治时期的政府机构。,Napoleonic Code,Wikipedia Search Result,Smart Match via 'Napoleonic government': Napoleonic Code (72.2),,,
Naudaeana,,,Q710176,Work,[Category Fix] 加布里埃尔·诺德（Gabriel Naudé）的语录集。,,,No results found,Gabriel Naudé,"French librarian, 1600–1653",Deep Match via 'Gabriel Naud' (From Notes): Gabriel Naudé (Score: 91.2)
Nepotism in Rome,,,,Concept,[Category Fix] 历史现象/概念。,,,No results found,,,
Neptune Paying Homage to Venice,,,,Work,[Category Fix] 提埃坡罗在公爵宫的画作。,,,No results found,,,
Nero being shown the Corpse of Seneca,,,,Work,[Category Fix] 历史画主题。,,,No results found,,,
