Refined_Formal_Name,Refined_Category,Original_Entry,Status/Notes
François Duquesnoy,Person,Fran?ois Duquesnoy,"[OCR Fix] ""?"" -> ""ç""。"
François Girardon,Person,Fran?ois Girardon,"[OCR Fix] ""?"" -> ""ç""。"
François Girardon,Person,"Girardon, François",[Reconstruction] 法国雕塑家。
François Mansart,Person,Fran?ois Mansart,"[OCR Fix] ""?"" -> ""ç""。"
François Mansart,Person,"Mansart, François",[Validation] 法国建筑师。
François-Joachim de Pierre de Bernis,Person,"Bermis, Cardinal de","[OCR Fix] ""Bermis"" -> ""Bernis""。法国枢机/外交官。"
François-Joachim de Pierre de Bernis,Person,Fran?ois-Joachim de Pierre de Bernis,"[OCR Fix] ""?"" -> ""ç""。"
Frederick III (Holy Roman Emperor),Person,Frederick III,[Disambiguation] 神圣罗马帝国皇帝。
Frederick III (Holy Roman Emperor),Person,Frederick III (Holy Roman Emperor),[Validation] 同上。
Frederick the Great,Person,Frederick II of Prussia,[Validation] 普鲁士国王。
Frederick the Great,Person,Frederick the Great,[Validation] 普鲁士国王。
Gabriel Grupello,Person,Gabri?l Grupello,"[OCR Fix] ""?"" -> ""ë""。佛兰芒雕塑家。"
Gabriel Grupello,Person,"Gruppello, Gabriel",[Validation] 佛兰芒雕塑家。
Galeazzo Arconati,Person,"Arconato, Galeazzo",[Reconstruction] 米兰收藏家 (达芬奇手稿)。
Galeazzo Arconati,Person,Galeazzo Arconati,[Validation] 米兰收藏家。
Gaspar Méndez de Haro (Marquis of Carpio),Person,Gaspar Méndez de Haro,[Validation] 西班牙收藏家。
Gaspar Méndez de Haro (Marquis of Carpio),Person,"Guzman, Gasparo de Haro y",[Reconstruction] 西班牙收藏家。
Gaspard Dughet,Person,"Dughet, Gaspard (Gaspard Poussin)",[Validation] 风景画家。
Gaspard Dughet,Person,Gaspard Dughet,[Validation] 画家。
Gaspard Dughet,Person,"Poussin, Gaspard",别名 Gaspard Poussin，风景画家。
George Frideric Handel,Person,George Frideric Handel,[Validation] 作曲家。
George Frideric Handel,Person,"Handel, George Frederick",[Validation] 作曲家。
George I of Great Britain,Person,George I of Great Britain,[Validation] 英国国王。
George I of Great Britain,Person,"George I, King of England",[Validation] 同上。
George I of Great Britain,Person,King George I,[Category Fix] 原文误标为 Man-Made Object。
George III of Great Britain,Person,George III of Great Britain,[Validation] 英国国王。
George III of Great Britain,Person,"George III, King of England",[Validation] 同上。
Giacomo Boni,Person,"Boni, Giacomo Antonio",[Disambiguation] 博洛尼亚画家。
Giacomo Boni,Person,Giacomo Boni,[Validation] 威尼斯画家 (18世纪) 或考古学家 (19世纪)。结合上下文 (Giacomo/18th cent)，应为画家 Giacomo Boni (1688–1766)。
Giacomo Casanova,Person,"Casanova de Seingalt, Jacques",[Disambiguation] 贾科莫·卡萨诺瓦。
Giacomo Casanova,Person,Giacomo Casanova,[Validation] 冒险家/作家。
Giacomo Di Castro,Person,"Castro, Jacomo di",[Disambiguation] 索伦托/那不勒斯画家。
Giacomo Di Castro,Person,Giacomo di Castro,[Validation] 索伦托画家。
Giacomo Serra,Person,Giacomo Serra,[Validation] 枢机主教 (Rubens赞助人)。
Giacomo Serra,Person,"Serra, Mgr Giacomo",红衣主教（卡拉瓦乔赞助人，Rubens 也有接触）。
Giacomo del Po,Person,Giacomo del Pò,[Validation] 那不勒斯画家。
Giacomo del Po,Person,"Po, Giacomo del",那不勒斯画家。
Giambattista Biffi,Person,"Biffi, Giambattista",[Reconstruction] 18世纪克雷莫纳作家。
Giambattista Biffi,Person,Giovanni Battista Biffi,[Validation] 克雷莫纳作家。
Giammaria Ortes,Person,Giammaria Ortes,[Validation] 威尼斯经济学家/修道士。
Giammaria Ortes,Person,"Ortes, Abate Giuseppe Maria",威尼斯哲学家/经济学家。
Gian Domenico Ferretti,Person,"Ferretti, Gian Domenico",[Reconstruction] 佛罗伦萨洛可可画家。
Gian Domenico Ferretti,Person,Giovanni Domenico Ferretti,[Validation] 佛罗伦萨画家。
Gian Paolo Cavagna,Person,"Cavagna, Giampaolo",[Validation] 贝加莫画家。
Gian Paolo Cavagna,Person,Giovanni Paolo Cavagna,[Validation] 贝加莫画家。
Gian Vittorio Rossi (Janus Nicius Erythraeus),Person,Gian Vittorio Rossi,[Validation] 诗人/学者。
Gian Vittorio Rossi (Janus Nicius Erythraeus),Person,Jan Niceo Eritreo,[Disambiguation] 意大利作家/学者。
Gianantonio Guardi,Person,Giovanni Antonio Guardi,[Standardization] 瓜尔迪兄弟长兄 (Giovanni Antonio)。
Gianantonio Guardi,Person,"Guardi, Gian Antonio",[Validation] 威尼斯画家。
Giannantonio Moschini,Person,Giannantonio Moschini,[Validation] 威尼斯艺术导览作者/神职人员。
Giannantonio Moschini,Person,"Moschini, Abate G. A.",19世纪威尼斯艺术导览作家。
Giorgione,Person,Giorgione,[Validation] 画家。
Giorgione,Person,Zorzone,[Disambiguation] 威尼斯方言称呼，或指 Giorgione。
Giovan Battista Cimaroli,Person,"Cimaroli, Giovan Battista",[Reconstruction] 威尼斯风景画家。
Giovan Battista Cimaroli,Person,Giovanni Battista Cimaroli,[Validation] 威尼斯风景画家。
Giovan Battista Langetti,Person,Giovan Battista Langetti,[Validation] 画家 (Tenebrist)。
Giovan Battista Langetti,Person,"Langetti, Giovanni Battista",[Validation] 画家。
Giovanni Angelo Montorsoli,Person,Giovanni Angelo Montorsoli,[Validation] 雕塑家 (Servite)。
Giovanni Angelo Montorsoli,Person,"Montorsoli, Giovanni",米开朗基罗的学生，雕塑家。
Giovanni Antonio Fumiani,Person,"Fumiani, Giannantonio",[Reconstruction] 威尼斯画家。
Giovanni Antonio Fumiani,Person,Giovanni Antonio Fumiani,[Validation] 威尼斯画家 (San Pantalon天顶)。
Giovanni Battista Foggini,Person,"Foggini, Giovan Battista",[Reconstruction] 佛罗伦萨雕塑家/建筑师。
Giovanni Battista Foggini,Person,Giovanni Battista Foggini,[Validation] 佛罗伦萨雕塑家。
Giovanni Battista Gaulli (Baciccio),Person,"Gaulli, Giovanni Battista (Baciccio)",[Validation] 画家。
Giovanni Battista Gaulli (Baciccio),Person,Giovanni Battista Gaulli,[Validation] 画家。
Giovanni Battista Passeri,Person,Giovanni Battista Passeri,[Validation] 传记作家/古物学家 (Lives of Painters / Etruscan studies)。
Giovanni Battista Passeri,Person,"Passeri, Giambattista",传记作家（《Vite》作者）。
Giovanni Battista Tiepolo,Person,Giovanni Battista Tiepolo,[Validation] 提埃坡罗。
Giovanni Battista Tiepolo,Person,"Tiepolo, Giambattista",提埃坡罗。
Giovanni Benedetto Castiglione,Person,Benedetto Castiglione,[Disambiguation] 乔瓦尼·贝内代托·卡斯蒂廖内 (Il Grechetto)。
Giovanni Benedetto Castiglione,Person,"Castiglione, Giovanni Benedetto",[Validation] 画家。
Giovanni Camillo Sagrestani,Person,Giovanni Camillo Sagrestani,[Validation] 佛罗伦萨画家。
Giovanni Camillo Sagrestani,Person,"Sagrestani, Giovan Camillo",佛罗伦萨晚期巴洛克画家。
Giovanni Domenico Ottonelli,Person,Giovanni Domenico Ottonelli,[Validation] 耶稣会作家 (艺术道德论)。
Giovanni Domenico Ottonelli,Person,"Ottonelli, Padre",耶稣会士，著有《Trattato della pittura》。
Giovanni Domenico Piastrini,Person,Giovanni Domenico Piastrini,[Validation] 佛罗伦萨画家。
Giovanni Domenico Piastrini,Person,"Piastrini, G. D.",18世纪佛罗伦萨画家。
Giovanni Domenico Tiepolo,Person,Giovanni Domenico Tiepolo,[Validation] 提埃坡罗之子。
Giovanni Domenico Tiepolo,Person,"Tiepolo, Gian Domenico",提埃坡罗之子。
Giovanni Francesco Negroni,Person,Giovanni Francesco Negroni,[Validation] 枢机主教。
Giovanni Francesco Negroni,Person,"Negroni, Cardinal Giovan Francesco",[Category Fix] 原文误标为 Place。红衣主教。
Giovanni Francesco Romanelli,Person,Giovanni Francesco Romanelli,[Validation] 画家 (Cortona学生)。
Giovanni Francesco Romanelli,Person,"Romanelli, Giovan Francesco",[Category Fix] 原文误标为 Place。罗马巴洛克画家。
Giovanni Gaetano Bottari,Person,"Bottari, Giovanni",[Disambiguation] 罗马学者/图书管理员。
Giovanni Gaetano Bottari,Person,Giovanni Gaetano Bottari,[Validation] 罗马学者/梵蒂冈图书馆员。
Giovanni Gasparo Baldoini,Person,"Baldoini, Giovanni Gasparo",[Reconstruction] 名字倒装复原。
Giovanni Gasparo Baldoini,Person,Gio. Gasparo Baldoini,[Full Name] 建筑师/工程师。
Giovanni Gioseffo dal Sole,Person,Giovanni Gioseffo dal Sole,[Validation] 博洛尼亚画家。
Giovanni Gioseffo dal Sole,Person,"Sole, Giovan Gioseffo dal",博洛尼亚画家。
Giovanni Incisa della Rocchetta,Person,Giovanni Incisa della Rocchetta,[Validation] 艺术史学家/收藏家 (Chigi日记编辑)。
Giovanni Incisa della Rocchetta,Person,Incisa Della Rocchetta,[Reconstruction] 学者。
Giovanni Ludovico Bianconi,Person,"Bianconi, G. L.",[Disambiguation] 18世纪医生/艺术作家。
Giovanni Ludovico Bianconi,Person,Giovanni Ludovico Bianconi,[Validation] 医生/艺术作家。
Giovanni Marchiori,Person,Giovanni Marchiori,[Validation] 威尼斯雕塑家。
Giovanni Marchiori,Person,"Marchiori, Giovanni",[Category Fix] 原文误标为 Man-Made Object。威尼斯雕塑家。
Giovanni Marco Pitteri,Person,Antonio Pitteri,"[OCR Fix] ""Antonio"" 可能是 ""Marco"" 的误植，或指 Antonio Pitteri (较不知名)。倾向于 Marco Pitteri (威尼斯版画家)。"
Giovanni Marco Pitteri,Person,Giovanni Marco Pitteri,[Validation] 威尼斯版画家。
Giovanni Maria Sasso,Person,G.M. Sasso,[Disambiguation] 威尼斯画商/修复师。
Giovanni Maria Sasso,Person,Giovanni Maria Sasso,[Validation] 威尼斯画商。
Giovanni Maria Sasso,Person,Giuseppe Maria Sasso,[Correction] 威尼斯画商 Sasso 通常名为 Giovanni Maria。可能是误记。
Giovanni Paolo Panini,Person,Giovanni Paolo Panini,[Validation] 维杜塔画家。
Giovanni Paolo Panini,Person,"Pannini, Giovanni Paolo",罗马Veduta画家。
Giovanni Pietro Bellori,Person,"Bellori, Gian Pietro",[Reconstruction] 艺术理论家。
Giovanni Pietro Bellori,Person,Giovanni Pietro Bellori,[Validation] 著名艺术理论家/传记作家。
Giovanni Pietro Olina,Person,Giovanni Pietro Olina,[Validation] 鸟类学家/作家 (Cassiano dal Pozzo圈子)。
Giovanni Pietro Olina,Person,"Olina, P.",《Uccelliera》作者，卡西阿诺·达尔·波佐圈子成员。
Giovanni Poleni,Person,Giovanni Poleni,[Validation] 帕多瓦数学家/物理学家。
Giovanni Poleni,Person,"Poleni, Marchese Giovanni",[Category Fix] 原文误标为 Man-Made Object。科学家/侯爵。
Giovanni Vianello,Person,Giovanni Vianello,[Validation] 威尼斯画家 (19世纪)。
Giovanni Vianello,Person,"Vianello, Dr Giovanni",艺术史学家/收藏家。
Girolamo Durazzo,Person,"Durazzo, Marchese Girolamo",[Category Fix] 原文误标为 Work。热那亚总督/贵族。
Girolamo Durazzo,Person,Marchese Girolamo Durazzo,热那亚贵族、总督及艺术收藏家。
Girolamo Frescobaldi,Person,"Frescobaldi, Gerolamo",[Reconstruction] 作曲家。
Girolamo Frescobaldi,Person,Girolamo Frescobaldi,[Validation] 巴洛克作曲家。
Giuseppe Cesari (Cavaliere d'Arpino),Person,"Arpino, Cavaliere d'",[Disambiguation] 朱塞佩·切萨里。
Giuseppe Cesari (Cavaliere d'Arpino),Person,Giuseppe Cesari,[Validation] 罗马画家。
Giuseppe Toninotto,Person,Giuseppe Toninotto,[Validation] 18世纪威尼斯出版商?。
Giuseppe Toninotto,Person,"Toninotto, Padre Giuseppe",
Giuseppe Valeriano,Person,Giuseppe Valeriano,[Validation] 耶稣会建筑师/画家。
Giuseppe Valeriano,Person,"Valeriano, Padre",耶稣会画家/建筑师。
Giustiniana Wynne,Person,Giustiniana Wynne Rosenberg-Orsini,[Validation] 威尼斯女作家。
Giustiniana Wynne,Person,"Wynne, Giustiniana (Mme Rosenberg)",威尼斯女作家（Countess Rosenberg）。
Gregory XIII,Person,"Boncampagni, Ugo (Pope Gregory XIII)",[Disambiguation] 教皇格里高利十三世。
Gregory XIII,Person,Gregory XIII,[Validation] 教皇格里高利十三世。
Gregory XV,Person,Alessandro Ludovisi,[Disambiguation] 亚历山德罗·卢多维西 (教皇格里高利十五世)。
Gregory XV,Person,Gregory XV,[Validation] 教皇格里高利十五世。
Gregory XV,Person,"Ludovisi, Alessandro (Pope Gregory XV)",[Disambiguation] 教皇格里高利十五世。
"Grey Brydges, 5th Baron Chandos",Person,"Brydges, Grey","[Disambiguation] ""King of the Cotswolds""。"
"Grey Brydges, 5th Baron Chandos",Person,"Chandos, Grey Brydges, 5th Lord",[Validation] 贵族。
"Grey Brydges, 5th Baron Chandos",Person,"Grey Brydges, 5th Baron Chandos",[Validation] 英国贵族。
Guercino,Person,Giovanni Francesco Barbieri,[Disambiguation] 顾尔奇诺。
Guercino,Person,Guercino (Francesco Barbieri),[Category Fix] 原文误标为 Place。
Guido Bentivoglio,Person,Cardinal Bentivoglio,[Category Fix] 原文误标为 Work。通常指 Guido Bentivoglio 枢机 (凡戴克肖像)。
Guido Bentivoglio,Person,Guido Bentivoglio,[Validation] 枢机主教。
Guillaume Courtois (Il Borgognone),Person,"Borgognone, Guglielmo (Guillaume Courtois)",[Disambiguation] 纪尧姆·库尔图瓦。
Guillaume Courtois (Il Borgognone),Person,Guillaume Courtois,[Validation] 画家。
Gustavus Adolphus,Person,Gustavus Adolphus,[Validation] 瑞典国王。
Gustavus Adolphus,Person,Gustavus Adolphus of Sweden,[Validation] 同上。
Heinrich von Brühl,Person,"Brühl, Count",[Disambiguation] 萨克森首相/收藏家。
Heinrich von Brühl,Person,Heinrich von Brühl,[Validation] 萨克森首相/收藏家。
Henriette Adelaide of Savoy,Person,Henriette Adelaide of Savoy,[Validation] 巴伐利亚选帝侯夫人。
Henriette Adelaide of Savoy,Person,Princess Henriette Adelaide of Savoy,巴伐利亚选帝侯夫人。
Henriette Adelaide of Savoy,Person,"Savoy, Adelaide Enrichetta of",巴伐利亚选帝侯夫人。
"Henry Bennet, 1st Earl of Arlington",Person,"Arlington, Lord",[Disambiguation] 阿灵顿伯爵。
"Henry Bennet, 1st Earl of Arlington",Person,Henry Bennet,[Validation] 英国政治家。
"Henry Bentinck, 1st Duke of Portland",Person,Henry Bentinck,[Disambiguation] 波特兰公爵。
"Henry Bentinck, 1st Duke of Portland",Person,"Portland, Henry, first Duke of",
Henry III of France,Person,Henri III,[Validation] 法国国王。
Henry III of France,Person,Henri III of France,[Category Fix] 原文误标为 Place。
Herman van Swanevelt,Person,Herman van Swanevelt,[Validation] 荷兰画家。
Herman van Swanevelt,Person,"Swanevelt, Hermann",荷兰风景画家。
Innocent X,Person,Giovanni Battista Pamphilj,[Disambiguation] 教皇英诺森十世。
Innocent X,Person,"Innocent X, Pope",[Validation] 教皇。
Innocent X,Person,"Pamfili, Gianbattista (Pope Innocent X)",教皇英诺森十世。
Innocent XI,Person,"Odescalchi, Benedetto (Pope Innocent XI)",教皇英诺森十一世（Odescalchi家族）。
Innocent XI,Person,Pope Innocent XI,
Innocent XII,Person,"Innocent XII, Pope",[Validation] 教皇。
Innocent XII,Person,"Pignatelli, Antonio (Pope Innocent XII)",教皇英诺森十二世。
Innocent XIII,Person,"Conti, Michaelangelo (Pope Innocent XIII)",[Disambiguation] 教皇英诺森十三世。
Innocent XIII,Person,Innocent XIII,[Validation] 教皇。
Inquisitori di Stato,Organization,Venice-Inquisitori di Stato,[Category Fix] 威尼斯国家裁判官。
Inquisitori di Stato,Organization,Venice-Inquisiwri,"[OCR Fix] ""Inquisiwri"" -> ""Inquisitori""。"
Ippolito Bentivoglio,Person,"Bentivoglio, Ippotilo","[OCR Fix] 修正 ""Ippotilo"" 为 ""Ippolito""。"
Ippolito Bentivoglio,Person,Ippolito Bentivoglio,[Validation] 费拉拉贵族/剧作家。
Isabella de' Medici,Person,Isabella de' Medici,[Validation] 美第奇家族成员。
Isabella de' Medici,Person,"Medici, Isabella de' (Duchess of Bracciano)",
Jacopo Facciolati,Person,"Facciolati, Abate",[Reconstruction] 帕多瓦学者/语言学家。
Jacopo Facciolati,Person,Jacopo Facciolati,[Validation] 帕多瓦语文学家。
Jacopo Guarana,Person,"Guarana, Giacomo",[Validation] 威尼斯画家。
Jacopo Guarana,Person,Jacopo Guarana,[Validation] 威尼斯画家。
Jacopo Morelli,Person,Iacopo Morelli,[Validation] 圣马可图书馆馆长。
Jacopo Morelli,Person,"Morelli, Jacopo",著名的圣马可图书馆馆长。
Jacopo Pedozzi,Person,Jacopo Pedozzi,[Validation] 灰泥艺术家 (18世纪)。
Jacopo Pedozzi,Person,"Pedozzi, Padre Jacopo",
Jacques Courtois (Il Borgognone),Person,"Borgognone, Giacomo (Jacques Courtois)",[Disambiguation] 雅克·库尔图瓦 (战斗画家)。
Jacques Courtois (Il Borgognone),Person,Jacques Courtois,[Validation] 画家。
Jacques Duyvelant,Person,"Duyvelant, Jacques",[Validation] 17世纪佛兰芒画家 (Antwerp)。
Jacques Duyvelant,Person,Jacques Duyvdant,[Reconstruction] 佛兰芒画家。
Jacques and Guillaume Courtois,Group,"Cortese, Giacomo and Guglielmo",[Split Required] 兄弟画家 (Il Borgognone)。
Jacques and Guillaume Courtois,Group,"Courtois, Jacques and Guillaume",[Validation] 兄弟画家。
Jacques-Bénigne Bossuet,Person,"Bossuet, Jacques-Bénigne",[Reconstruction] 法国主教/布道家。
Jacques-Bénigne Bossuet,Person,Jacques Bénigne Bossuet,[Validation] 主教/作家。
Jakob Christoph Le Blon,Person,Jacob Christoph Le Blon,[Validation] 版画家 (彩色版画发明者)。
Jakob Christoph Le Blon,Person,"LeBlon, Jakob Christoffel",[Validation] 德国/法国版画家。
"James Brydges, 1st Duke of Chandos",Person,"Chandos, James Brydges, 1st Duke of",[Validation] 贵族/赞助人。
"James Brydges, 1st Duke of Chandos",Person,James Brydges,[Validation] 贵族/赞助人。
James Byam Shaw,Person,James Byam Shaw,[Validation] 艺术史学家 (Venetian drawings)。
James Byam Shaw,Person,John Byam Lister Shaw,[Correction] 可能是混淆了 John Byam Shaw (画家) 和 James Byam Shaw (艺术史学家)。上下文多为艺术史，James Byam Shaw 是威尼斯画派素描专家。
James Francis Edward Stuart,Person,"James Francis Edward Stuart, Prince of Wales",[Validation] 老僭王。
James Francis Edward Stuart,Person,James III of England,[Disambiguation] 老僭王 (自称詹姆斯三世)。
Jan Baptist de Wael,Person,Jan Baptist de Wael,[Validation] 佛兰芒画家/版画家。
Jan Baptist de Wael,Person,"Wael, Jean-Baptiste de",佛兰芒画家。
Jan van den Eynde,Person,Jan van den Eynde,[Validation] 那不勒斯佛兰芒商人/收藏家 (Ferdinand van den Eynde的兄弟/亲戚)。
Jan van den Eynde,Person,"Vandeneynde, Jan",佛兰芒建筑师/商人，活跃于那不勒斯。
Jan van den Eynde,Person,"den Einden, Jan van",佛罗伦萨/那不勒斯富商/收藏家。
Jean-Antoine Nollet,Person,Jean-Antoine Nollet,[Validation] 物理学家 (Abbé Nollet)。
Jean-Antoine Nollet,Person,"Nollet, Abb谷","[OCR Fix] ""Abb谷"" -> ""Abbé""。物理学家。"
Jean-Antoine Watteau,Person,Jean Antoine Watteau,[Validation] 法国画家。
Jean-Antoine Watteau,Person,"Watteau, Antoine",华托。
Jean-Baptiste Théodon,Person,Jean-Baptiste Théodon,[Validation] 法国雕塑家。
Jean-Baptiste Théodon,Person,"Th谷odon, Jean Baptiste","[OCR Fix] ""Th谷odon"" -> ""Théodon""。法国雕塑家。"
Jean-Baptiste-Siméon Chardin,Person,"Chardin, Jean Baptiste Siméon",[Validation] 法国画家。
Jean-Baptiste-Siméon Chardin,Person,Jean-Baptiste-Siméon Chardin,[Validation] 法国画家。
Jean-François Millet,Person,Jean-Fran?ois Millet,"[OCR Fix] ""?"" -> ""ç""。"
Jean-François Millet,Person,"Millet, Jean-Fran?ois","[OCR Fix] 乱码修复 ""?ois"" -> ""çois""。"
Jean-François de La Harpe,Person,Jean-Fran?ois de La Harpe,"[OCR Fix] ""?"" -> ""ç""。"
Jean-François de La Harpe,Person,La Harpe,[Disambiguation] 评论家。
Jean-Honoré Fragonard,Person,"Fragonard, Jean Honoré",[Reconstruction] 法国画家。
Jean-Honoré Fragonard,Person,Jean-Honoré Fragonard,[Validation] 法国画家。
Jennifer Montagu,Person,Jennifer Ellis Rachel Montagu,[Validation] 艺术史学家。
Jennifer Montagu,Person,"Montagu, Jennifer",现代著名艺术史学家（巴洛克雕塑权威）。
Jerome Bankes,Person,Jerome Bankes,[Validation] 英国旅行者/赞助人。
Jerome Bankes,Person,Jerome Bankes (1635/36-1686),[Category Fix] 原文误标为 Man-Made Object。
Jerónimo Nadal,Person,Jeroni Nadal,[Validation] 耶稣会士 (Nadal's Gospel Illustrations)。
Jerónimo Nadal,Person,"Nadal, Jerome",(Jerome Nadal) 耶稣会神学家，反宗教改革图像学重要人物。
Johann Bernhard Fischer von Erlach,Person,"Erlach, Fischer von",[Reconstruction] 奥地利巴洛克建筑师。
Johann Bernhard Fischer von Erlach,Person,Johann Bernhard Fischer von Erlach,[Validation] 奥地利建筑师。
Johann Christian Brand,Person,"Brand, Johannes Christian",[Disambiguation] 奥地利风景画家。
Johann Christian Brand,Person,Johann Christian Brand,[Validation] 奥地利画家。
Johann Christoph Pepusch,Person,Johann Christoph Pepusch,[Validation] 作曲家。
Johann Christoph Pepusch,Person,"Pepusch, Dr",德国作曲家，活跃于伦敦。
Johann Christoph Storer,Person,Johann Christoph Storer,[Validation] 画家。
Johann Christoph Storer,Person,"Storer, Cristoforo",(Cristoforo Storer) 康斯坦茨出生的画家，活跃于米兰。
Johann Joachim Winckelmann,Person,Johann Joachim Winckelmann,[Validation] 艺术史之父。
Johann Joachim Winckelmann,Person,"Winckelmann, J. J.",温克尔曼。
Johann Matthias von der Schulenburg,Person,Johann Matthias von der Schulenburg,[Validation] 陆军元帅/威尼斯收藏家。
Johann Matthias von der Schulenburg,Person,Marshal Schulenburg,[Category Fix] 威尼斯共和国元帅，重要的艺术收藏家。
Johann Matthias von der Schulenburg,Person,"Schulenburg, Marshal Johann Matthias",威尼斯元帅，重要收藏家。
Johann Philipp Franz von Schönborn,Person,Johann Philipp Franz von Sch?nborn,"[OCR Fix] ""?"" -> ""ö""。维尔茨堡采邑主教。"
Johann Philipp Franz von Schönborn,Person,"Sch?nborn, Johann Philip Franz",[OCR Fix]
"Johann Wilhelm, Elector Palatinate",Person,Johann Wilhelm,[Disambiguation] 普法尔茨选帝侯。
"Johann Wilhelm, Elector Palatinate",Person,"Johann Wilhelm, Elector Palatinate",[Validation] 同上。
"John Cecil, 5th Earl of Exeter",Person,"Exeter, 5th Lord",[Disambiguation] 伯利勋爵/Grand Tour 旅行者。
"John Cecil, 5th Earl of Exeter",Person,"John Cecil, 5th Earl of Exeter",[Validation] 伯利勋爵/大旅行者。
John Closterman,Person,"Clostermann, John",[Validation] 肖像画家。
John Closterman,Person,John Closterman,[Validation] 肖像画家。
"John Hervey, 2nd Baron Hervey",Person,"Hervey, Lord",[Disambiguation] 赫维勋爵 (回忆录作者)。
"John Hervey, 2nd Baron Hervey",Person,"John Hervey, 2nd Baron Hervey",[Validation] 赫维勋爵。
"John Sheffield, 1st Duke of Buckingham and Normanby",Person,"Buckingham, John Sheffield, Duke of",[Full Name] 诗人/政治家。
"John Sheffield, 1st Duke of Buckingham and Normanby",Person,"John Sheffield, 1st Duke of Buckingham and Normanby",[Validation] 政治家/作家。
John Skippe,Person,John Henry Skippe,[Validation] 业余艺术家/收藏家 (Chiaroscuro woodcuts)。
John Skippe,Person,"Skippe, John",英国业余艺术家/鉴赏家。
John Udny,Person,John Fullarton Udny,[Validation] 英国驻威尼斯/里窝那领事 (收藏家)。
John Udny,Person,"Udney, John",[Spelling Fix] 英国驻威尼斯领事 (Consul Udny)。
John Udny,Person,Zuane Udni,"[Dialect/OCR] 威尼斯方言 ""Zuane"" = Giovanni = John; ""Udni"" = Udny (Consul John Udny)。"
Joseph Addison,Person,Addison,[Category Fix] 误标为 Work (E22)。英国作家/政治家。
Joseph Addison,Person,Joseph Addison,[Validation] 作家/政治家。
Judith with the Head of Holofernes,Work,Judith with the Head of Holofernes,[Validation] 绘画主题。
Judith with the Head of Holofernes,Work,Judith with the head of Holofernes,[Validation] 绘画主题。
Jules Mazarin,Person,"Mazarin, Cardinal",马萨林枢机。
Jules Mazarin,Person,"Mazzarini, Giulio",马萨林枢机的意大利原名。
Jusepe de Ribera,Person,Jusepe de Ribera,[Validation] 西班牙画家。
Jusepe de Ribera,Person,"Ribera, Giuseppe",别名 Spagnoletto。
Karl Ludwig von Pöllnitz,Person,Karl Ludwig Freiherr von P?llnitz,"[OCR Fix] ""?"" -> ""ö""。回忆录作者。"
Karl Ludwig von Pöllnitz,Person,"P?llnitz, Baron de","[OCR Fix] ""P?llnitz"" -> ""Pöllnitz""。普鲁士回忆录作家。"
Karl Philipp von Greiffenclau,Person,"Greiffenklau, Karl Philip von",[Validation] 维尔茨堡采邑主教 (Tiepolo赞助人)。
Karl Philipp von Greiffenclau,Person,Karl Philipp von Greiffenklau,[Validation] 维尔茨堡采邑主教。
Laurent Cars,Person,"Cars, Laurence","[OCR Fix] ""Laurence"" -> ""Laurent""。法国版画家。"
Laurent Cars,Person,Laurent Cars,[Validation] 法国版画家。
Leonaert Bramer,Person,"Bramer, Leonard",[Disambiguation] 荷兰画家。
Leonaert Bramer,Person,Leonaert Bramer,[Validation] 荷兰画家。
Leonardo Valmarana,Person,"Leonardo, Conte di Valmarana",[Validation] 贵族。
Leonardo Valmarana,Person,"Valmarana, Leonardo",帕拉迪奥的赞助人。
"Leopold II, Holy Roman Emperor",Person,"Leopold I, Grand Duke of Tuscany",[Disambiguation] 托斯卡纳大公 Leopold I 继位为神圣罗马皇帝 Leopold II。
"Leopold II, Holy Roman Emperor",Person,"Leopold II, Holy Roman Emperor",[Validation] 同上。
Lodovico Furlanetto,Person,"Furnaletto, Lodovico","[OCR Fix] ""Furnaletto"" -> ""Furlanetto"" (威尼斯出版商)。"
Lodovico Furlanetto,Person,Lodovico Furlanetto,[Validation] 威尼斯出版商。
Lothar Franz von Schönborn,Person,Lothar Franz von Sch?nborn,"[OCR Fix] ""?"" -> ""ö""。美因茨选帝侯。"
Lothar Franz von Schönborn,Person,"Sch?nborn, Lothar Franz von",[OCR Fix] 美因茨选帝侯。
"Louis Phélypeaux, marquis de La Vrillière",Person,"La Vrillière, Louis Phélipeaux de",[Validation] 法国政治家/收藏家。
"Louis Phélypeaux, marquis de La Vrillière",Person,Louis Phélypeaux de La Vrillière,[Validation] 法国政治家。
"Louis Phélypeaux, marquis de La Vrillière",Person,Vrilliere,[Category Fix] 原文误标为 Place。法国国务大臣，著名收藏家。
Ludovico Antonio Muratori,Person,Ludovico Antonio Muratori,[Validation] 历史学家/学者。
Ludovico Antonio Muratori,Person,"Muratori, L. A.",意大利历史学家。
Ludovico Ariosto,Person,Ariosto,[Disambiguation] 诗人 (疯狂的奥兰多)。
Ludovico Ariosto,Person,Ludovico Ariosto,[Validation] 诗人 (Orlando Furioso)。
Ludovico Gimignani,Person,"Gimignani, Lodovico",[Reconstruction] 罗马画家。
Ludovico Gimignani,Person,Ludovico Gimignani,[Validation] 罗马画家。
Ludovico Ludovisi,Person,Ludovico Ludovisi,[Validation] 枢机主教/收藏家。
Ludovico Ludovisi,Person,"Ludovisi, Ludovico (nephew to Pope Gregory XV)",[Validation] 枢机主教。
Macerata,Place,Macerata,[Validation] 城市。
