Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes,Analysis_Tag,Similarity_Score,Issue_Flag
Jacopo Guarana,Jacopo Guarana,Person,[Validation] 威尼斯画家。,Validation,1.0,
Jacopo Palma il Giovane,Palma il Giovane,Person,[Validation] 威尼斯画家。,Validation,0.82,
Jacopo Pedozzi,Jacopo Pedozzi,Person,[Validation] 灰泥艺术家 (18世纪)。,Validation,1.0,
Jacopo Riguccio Galluzzi,Riguccio Galluzzi,Person,[Validation] 托斯卡纳历史学家。,Validation,0.83,
"Jacopo Salviati, I duca di Giuliano",Jacopo Salviati,Person,[Validation] 贵族。,Validation,0.6,
Jacopo Sansovino,Jacopo Sansovino,Person,[Validation] 建筑师/雕塑家。,Validation,1.0,
Jacopo Tintoretto,Tintoretto,Person,[Validation] 丁托列托。,Validation,0.74,
Jacques Bénigne Bossuet,Jacques-Bénigne Bossuet,Person,[Validation] 主教/作家。,Validation,0.96,
Jacques Callot,Jacques Callot,Person,[Validation] 版画家。,Validation,1.0,
Jacques Courtois,Jacques Courtois (Il Borgognone),Person,[Validation] 画家。,Validation,0.67,
Jacques Duyvdant,Jacques Duyvelant,Person,[Reconstruction] 佛兰芒画家。,Reconstruction,0.91,
Jacques Thuillier,Jacques Thuillier,Person,[Validation] 艺术史学家。,Validation,1.0,
Jacques Tubeuf,Jacques Tubeuf,Person,[Validation] 收藏家 (Poussin赞助人)。,Validation,1.0,
Jael,Jael,Person,[Validation] 圣经人物。,Validation,1.0,
Jael Hammering a nail into Sisera,Jael and Sisera,Work,[Validation] 绘画主题。,Validation,0.58,Low_Similarity; 
James Ackerman,James S. Ackerman,Person,[Validation] 建筑史学家 (Palladio/Michelangelo)。,Validation,0.9,
James Adam,James Adam,Person,[Validation] 建筑师 (Robert Adam之弟)。,Validation,1.0,
James Altham,James Altham,Person,[Validation] 英国人物 (可能指 Sir James Altham 或后代)。,Validation,1.0,
James Brydges,"James Brydges, 1st Duke of Chandos",Person,[Validation] 贵族/赞助人。,Validation,0.55,Low_Similarity; 
James Byam Shaw,James Byam Shaw,Person,[Validation] 艺术史学家 (Venetian drawings)。,Validation,1.0,
James Curran Davis,James C. Davis,Person,[Validation] 历史学家 (A Venetian Family)。,Validation,0.81,
"James Francis Edward Stuart, Prince of Wales",James Francis Edward Stuart,Person,[Validation] 老僭王。,Validation,0.76,
James II of England,James II of England,Person,[Validation] 英国国王。,Validation,1.0,
James III of England,James Francis Edward Stuart,Person,[Disambiguation] 老僭王 (自称詹姆斯三世)。,Disambiguation,0.47,
James Thornhill,James Thornhill,Person,[Validation] 英国巴洛克画家。,Validation,1.0,
James Wyatt,James Wyatt,Person,[Validation] 英国建筑师。,Validation,1.0,
Jan Baptist de Wael,Jan Baptist de Wael,Person,[Validation] 佛兰芒画家/版画家。,Validation,1.0,
Jan Bialostocki,Jan Białostocki,Person,[Validation] 艺术史学家。,Validation,0.93,
Jan Both,Jan Both,Person,[Validation] 荷兰风景画家。,Validation,1.0,
Jan Miel,Jan Miel,Person,[Validation] 佛兰芒画家。,Validation,1.0,
Jan Niceo Eritreo,Gian Vittorio Rossi (Janus Nicius Erythraeus),Person,[Disambiguation] 意大利作家/学者。,Disambiguation,0.42,
Jan Weenix,Jan Weenix,Person,[Validation] 荷兰静物/风景画家。,Validation,1.0,
Jan van den Eynde,Jan van den Eynde,Person,[Validation] 那不勒斯佛兰芒商人/收藏家 (Ferdinand van den Eynde的兄弟/亲戚)。,Validation,1.0,
Jan van den Hecke,Jan van den Hecke,Person,[Validation] 佛兰芒画家。,Validation,1.0,
Jane Costello,Jane Costello,Person,[Validation] 艺术史学家。,Validation,1.0,
Jean Alazard,Jean Alazard,Person,[Validation] 艺术史学家。,Validation,1.0,
Jean Antoine Watteau,Jean-Antoine Watteau,Person,[Validation] 法国画家。,Validation,0.95,
Jean Armand de Blainville,Monsieur de Blainville,Person,[Disambiguation] 旅行记作者 (可能化名)。,Disambiguation,0.68,
Jean Baptiste Bouchardon,Jean-Baptiste Bouchardon,Person,[Validation] 雕塑家 (Edmé的父亲)。,Validation,0.96,
Jean Baptiste Vanmour,Jean-Baptiste Vanmour,Person,[Validation] 法国画家 (东方主义)。,Validation,0.95,
Jean Dughet,Jean Dughet,Person,[Validation] 普桑的内弟/版画家。,Validation,1.0,
Jean Huber,Jean Huber,Person,[Validation] 瑞士画家 (Voltaire肖像)。,Validation,1.0,
Jean Jacques Rousseau,Jean-Jacques Rousseau,Person,[Validation] 哲学家。,Validation,0.95,
Jean Léon Marie Delumeau,Jean Delumeau,Person,[Validation] 历史学家。,Validation,0.7,
Jean-Antoine Houdon,Jean-Antoine Houdon,Person,[Validation] 新古典主义雕塑家。,Validation,1.0,
Jean-Antoine Nollet,Jean-Antoine Nollet,Person,[Validation] 物理学家 (Abbé Nollet)。,Validation,1.0,
Jean-Baptiste Colbert,Jean-Baptiste Colbert,Person,[Validation] 路易十四的大臣。,Validation,1.0,
Jean-Baptiste Théodon,Jean-Baptiste Théodon,Person,[Validation] 法国雕塑家。,Validation,1.0,
Jean-Baptiste-Siméon Chardin,Jean-Baptiste-Siméon Chardin,Person,[Validation] 法国画家。,Validation,1.0,
Jean-Fran?ois Millet,Jean-François Millet,Person,"[OCR Fix] ""?"" -> ""ç""。",OCR Fix,0.95,
Jean-Fran?ois de La Harpe,Jean-François de La Harpe,Person,"[OCR Fix] ""?"" -> ""ç""。",OCR Fix,0.96,
Jean-Fran?ois de Troy,Jean-François de Troy,Person,"[OCR Fix] ""?"" -> ""ç""。",OCR Fix,0.95,
Jean-Honoré Fragonard,Jean-Honoré Fragonard,Person,[Validation] 法国画家。,Validation,1.0,
Jean-Hugues Taraval,Jean-Hugues Taraval,Person,[Validation] 法国画家。,Validation,1.0,
Jean-Jacques Bouchard,Jean-Jacques Bouchard,Person,[Validation] 17世纪法国日记作者 (罗马生活)。,Validation,1.0,
Jeffrey Daniels,Jeffrey Daniels,Person,[Validation] 艺术史学家 (Sebastiano Ricci)。,Validation,1.0,
Jennifer Ellis Rachel Montagu,Jennifer Montagu,Person,[Validation] 艺术史学家。,Validation,0.71,
Jenny Adam,Jenny Adam,Person,[Check Original] 可能是 Robert Adam 的妹妹 Janet (Jenny)?,Check Original,1.0,
Jeremiah,Jeremiah,Person,[Validation] 先知。,Validation,1.0,
Jerome Bankes,Jerome Bankes,Person,[Validation] 英国旅行者/赞助人。,Validation,1.0,
Jerome Bankes (1635/36-1686),Jerome Bankes,Person,[Category Fix] 原文误标为 Man-Made Object。,Category Fix,0.63,
Jeroni Nadal,Jerónimo Nadal,Person,[Validation] 耶稣会士 (Nadal's Gospel Illustrations)。,Validation,0.85,
Jesuit Archives,Jesuit Archives,Place/Organization,[Validation] 档案机构。,Validation,1.0,
Jesuit church,Jesuit Church,Place,[Validation] 泛指或特指 (Gesù)。,Validation,1.0,
Jesuit school,Jesuit School,Place,[Validation] 学校。,Validation,1.0,
Jesuits,Jesuits,Group,[Validation] 耶稣会。,Validation,1.0,
Jesus,Jesus Christ,Person,[Validation] 耶稣。,Validation,0.59,Low_Similarity; 
Jesus Church,Church of the Gesù,Place,[Disambiguation] 耶稣会教堂。,Disambiguation,0.4,
Joachim Joseph Berthier,Joachim-Joseph Berthier,Person,[Validation] 多明我会历史学家。,Validation,0.96,
Joachim von Derschau,Hans Albrecht von Derschau?,Person,"[Check] ""Joachim von Derschau"" 可能是指普鲁士收藏家 Hans Albrecht von Derschau? 或者 Joachim von Sandrart 的亲戚? 搜索指向 19世纪收藏家 Hans Albrecht von Derschau。",Check,0.68,
Joachim von Sandrart,Joachim von Sandrart,Person,[Validation] 德国画家/传记作家 (Teutsche Academie)。,Validation,1.0,
Job,Job,Person,[Validation] 圣经人物。,Validation,1.0,
Job and Wife and Isaac blessing Jacob,Job and his Wife / Isaac Blessing Jacob,Work,[Split Required] 两个不同的圣经主题，可能是同一作品集中列出。,Split Required,0.89,
Johann Balthasar Neumann,Balthasar Neumann,Person,[Validation] 德国巴洛克建筑师。,Validation,0.83,
Johann Bernhard Fischer von Erlach,Johann Bernhard Fischer von Erlach,Person,[Validation] 奥地利建筑师。,Validation,1.0,
Johann Carl Loth,Johann Carl Loth (Carlotto),Person,[Validation] 威尼斯画家 (德国裔)。,Validation,0.74,
Johann Caspar Goethe,Johann Caspar Goethe,Person,[Validation] 歌德的父亲 (旅行日记)。,Validation,1.0,
Johann Christian Brand,Johann Christian Brand,Person,[Validation] 奥地利画家。,Validation,1.0,
Johann Christoph Pepusch,Johann Christoph Pepusch,Person,[Validation] 作曲家。,Validation,1.0,
Johann Christoph Storer,Johann Christoph Storer,Person,[Validation] 画家。,Validation,1.0,
Johann Georg III of Saxony,"Johann Georg III, Elector of Saxony",Person,[Validation] 萨克森选帝侯。,Validation,0.85,
Johann Georg Key?ler,Johann Georg Keyssler,Person,"[OCR Fix] ""?"" -> ""ss"" or ""ß""。旅行作家。",OCR Fix,0.93,
Johann Georg Zimmermann,Johann Georg Zimmermann,Person,[Validation] 瑞士作家/医生。,Validation,1.0,
"Johann II, Prince of Liechtenstein","Johann II, Prince of Liechtenstein",Person,[Validation] 列支敦士登亲王 (19世纪/20世纪初，作为收藏家)。,Validation,1.0,
Johann Joachim Winckelmann,Johann Joachim Winckelmann,Person,[Validation] 艺术史之父。,Validation,1.0,
Johann Lukas von Hildebrandt,Johann Lukas von Hildebrandt,Person,[Validation] 建筑师。,Validation,1.0,
Johann Matthias von der Schulenburg,Johann Matthias von der Schulenburg,Person,[Validation] 陆军元帅/威尼斯收藏家。,Validation,1.0,
Johann Philipp Franz von Sch?nborn,Johann Philipp Franz von Schönborn,Person,"[OCR Fix] ""?"" -> ""ö""。维尔茨堡采邑主教。",OCR Fix,0.97,
Johann Wilhelm,"Johann Wilhelm, Elector Palatinate",Person,[Disambiguation] 普法尔茨选帝侯。,Disambiguation,0.58,
"Johann Wilhelm, Elector Palatinate","Johann Wilhelm, Elector Palatinate",Person,[Validation] 同上。,Validation,1.0,
Johann Zacharias Platner,Johann Zacharias Platner,Person,[Validation] 莱比锡医生/收藏家? 或者是 Johann Zacharias Platner (考古学家/罗马描述者)? 指 Zacharias Platner (17世纪)? 实际上是 Giovanni Zaccaria Platner (Zacharias Platner) 也是画家。但更可能是 Ernst Zacharias Platner (画家/作家)? 搜索显示 Johann Zacharias Platner 是著名的莱比锡解剖学家。在艺术语境下，可能是指他在罗马的活动或收藏。,Validation,1.0,
Johannes Albertus Franciscus Orbaan,J. A. F. Orbaan,Person,[Validation] 艺术史学家 (Sixtine Rome)。,Validation,0.48,Low_Similarity; 
Johannes Vermeer,Johannes Vermeer,Person,[Validation] 维米尔。,Validation,1.0,
Johannes Wilde,Johannes Wilde,Person,[Validation] 艺术史学家 (Michelangelo/Venetian art)。,Validation,1.0,
John Bryan Shipley,John B. Shipley,Person,[Validation] 学者。,Validation,0.85,
John Bryson,John Bryson,Person,[Validation] 收藏家 (Ashmolean bequest)。,Validation,1.0,
John Buonarotti Papworth,John Buonarotti Papworth,Person,[Validation] 英国建筑师。,Validation,1.0,
John Byam Lister Shaw,James Byam Shaw,Person,[Correction] 可能是混淆了 John Byam Shaw (画家) 和 James Byam Shaw (艺术史学家)。上下文多为艺术史，James Byam Shaw 是威尼斯画派素描专家。,Correction,0.61,
"John Cecil, 5th Earl of Exeter","John Cecil, 5th Earl of Exeter",Person,[Validation] 伯利勋爵/大旅行者。,Validation,1.0,
"John Cecil, 6th Earl of Exeter","John Cecil, 6th Earl of Exeter",Person,[Validation] 伯利勋爵。,Validation,1.0,
John Charlton,John Charlton,Person,[Validation] 艺术史学家/Banquetting House专家。,Validation,1.0,
John Chrysostom,Saint John Chrysostom,Person,[Validation] 圣金口约翰。,Validation,0.83,
"John Churchill, 1st Duke of Marlborough","John Churchill, 1st Duke of Marlborough",Person,[Validation] 马尔博罗公爵。,Validation,1.0,
John Closterman,John Closterman,Person,[Validation] 肖像画家。,Validation,1.0,
John Conduitt,John Conduitt,Person,[Validation] 牛顿的继侄女婿/收藏家。,Validation,1.0,
John Constable,John Constable,Person,[Validation] 英国风景画家 (19世纪)。,Validation,1.0,
John Dryden,John Dryden,Person,[Validation] 诗人。,Validation,1.0,
John Durant Breval,John Durant Breval,Person,[Validation] 旅行作家。,Validation,1.0,
John Edward Sweetman,John Sweetman,Person,[Validation] 艺术史学家 (Orientalism)。,Validation,0.79,
John Evelyn,John Evelyn,Person,[Validation] 日记作者。,Validation,1.0,
John Finch,John Finch,Person,[Validation] 英国驻君士坦丁堡大使/Padua校友。,Validation,1.0,
John Fleming,John Fleming,Person,[Validation] 艺术史学家。,Validation,1.0,
John Fullarton Udny,John Udny,Person,[Validation] 英国驻威尼斯/里窝那领事 (收藏家)。,Validation,0.64,
John Gay,John Gay,Person,[Validation] 诗人/剧作家。,Validation,1.0,
John Graham Robertson,W. Graham Robertson?,Person,"[Check] 可能是 Walford Graham Robertson? 或者 John Graham (painter)? 搜索 ""John Graham Robertson"" 较少。待定。",Check,0.83,
John Henry Skippe,John Skippe,Person,[Validation] 业余艺术家/收藏家 (Chiaroscuro woodcuts)。,Validation,0.79,
"John Hervey, 2nd Baron Hervey","John Hervey, 2nd Baron Hervey",Person,[Validation] 赫维勋爵。,Validation,1.0,
John J. Gilmartin,John Gilmartin,Person,[Validation] 艺术史学家 (Batoni)。,Validation,0.9,
John Law,John Law,Person,[Validation] 经济学家 (密西西比泡沫)。,Validation,1.0,
John Manners,John Manners (Marquess of Granby / Duke of Rutland),Person,[Ambiguity] 需区分具体哪位。,Ambiguity,0.38,Low_Similarity; 
John Milton,John Milton,Person,[Validation] 诗人。,Validation,1.0,
John Nicoll,John Nicoll,Person,[Validation] 可能是收藏家或校。,Validation,1.0,
John Northall,John Northall,Person,[Validation] 旅行作家 (Travels through Italy)。,Validation,1.0,
John Pope Hennessy,John Pope-Hennessy,Person,[Validation] 著名艺术史学家。,Validation,0.94,
John Ripley Freeman,John Ripley Freeman,Person,[Validation] 工程师? 可能误入或同名收藏家。,Validation,1.0,
John Russell,John Russell,Person,[Ambiguity] 可能是画家 John Russell (RA) 或 Bedford 公爵。,Ambiguity,1.0,
"John Sheffield, 1st Duke of Buckingham and Normanby","John Sheffield, 1st Duke of Buckingham and Normanby",Person,[Validation] 政治家/作家。,Validation,1.0,
"John Sobieski, King of Poland",John III Sobieski,Person,[Validation] 波兰国王。,Validation,0.57,Low_Similarity; 
John Strange,John Strange,Person,[Validation] 英国驻威尼斯居民/收藏家。,Validation,1.0,
John Tillotson,John Tillotson,Person,[Validation] 坎特伯雷大主教。,Validation,1.0,
John Vanbrugh,John Vanbrugh,Person,[Validation] 建筑师/剧作家。,Validation,1.0,
Angelo Solerti,Angelo Solerti,Person,[Validation] 音乐史学家/文学评论家。,Validation,1.0,
Angelo Trevisani,Angelo Trevisani,Person,[Validation] 威尼斯画家。,Validation,1.0,
Angels carrying the Instruments of the Passion and of St. Philip in Ecstasy,Angels carrying the Instruments of the Passion,Work,[Validation] 绘画主题。,Validation,0.76,
"Anglesey Abbey, Gardens and Lode Mill",Anglesey Abbey,Place,[Validation] 地名（英国庄园）。,Validation,0.55,Low_Similarity; 
Aniello Falcone,Aniello Falcone,Person,[Validation] 那不勒斯画家。,Validation,1.0,
Animals and Figures in the Flemish Style,Animals and Figures in the Flemish Style,Work,[Validation] 画作描述/标题 (Castiglione风格)。,Validation,1.0,
Ann Sutherland Harris,Ann Sutherland Harris,Person,[Validation] 艺术史学家。,Validation,1.0,
Anna Banti,Anna Banti,Person,[Validation] 作家/艺术史学家 (Roberto Longhi之妻)。,Validation,1.0,
Anna Colonna,Anna Colonna,Person,[Validation] 巴贝里尼家族成员 (Taddeo Barberini 之妻)。,Validation,1.0,
Anna Maria Luisa de' Medici,Anna Maria Luisa de' Medici,Person,[Validation] 美第奇家族最后一位直系成员。,Validation,1.0,
Annamaria Gabrielli,Annamaria Gabrielli,Person,[Validation] 学者/档案学家。,Validation,1.0,
Annan Gallery,Annan Gallery,Organization,[Validation] 画廊。,Validation,1.0,
Anne Claude de Caylus,Anne Claude de Caylus (Comte de Caylus),Person,[Full Name] 考古学家/收藏家。,Full Name,0.7,
Anne d’Autriche,Anne of Austria,Person,[Validation] 奥地利的安妮 (法国王后)。,Validation,0.67,
"Anne of Austria, Regent of France",Anne of Austria,Person,[Category Fix] 原文误标为 Place。,Category Fix,0.62,
Anne of Great Britain,"Anne, Queen of Great Britain",Person,[Validation] 安妮女王。,Validation,0.86,
"Anne, Queen of England","Anne, Queen of Great Britain",Person,[Validation] 安妮女王。,Validation,0.68,
Anne-Marie du Boccage,Anne-Marie du Boccage,Person,[Validation] 法国作家。,Validation,1.0,
Annibale Carracci,Annibale Carracci,Person,[Validation] 博洛尼亚画家。,Validation,1.0,
Annibale Gonzaga,Annibale Gonzaga,Person,[Validation] 曼图亚亲王/将军。,Validation,1.0,
Annibale Laparelli,Annibale Laparelli,Person,[Validation] 建筑师/雕塑家 (16世纪)。,Validation,1.0,
Annunciation,Annunciation,Work,[Validation] 圣母领报（主题）。,Validation,1.0,
Annunciation Square,Piazza della Santissima Annunziata,Place,[Standardization] 佛罗伦萨广场。,Standardization,0.34,Low_Similarity; 
Annunziata,Santissima Annunziata,Place,[Disambiguation] 指代教堂或广场。,Disambiguation,0.65,
Anselmo Costadoni,Anselmo Costadoni,Person,[Validation] 本笃会学者。,Validation,1.0,
Antenor,Antenor,Person (Myth),[Validation] 帕多瓦的建立者。,Validation,1.0,
"Anthony Ashley-Cooper, 7th Earl of Shaftesbury","Anthony Ashley-Cooper, 7th Earl of Shaftesbury",Person,[Validation] 政治家/慈善家。,Validation,1.0,
Anthony Baldinucci,Antonio Baldinucci,Person,[Disambiguation] 圣安东尼奥·巴尔迪努齐。,Disambiguation,0.89,
Anthony Blunt,Anthony Blunt,Person,[Validation] 艺术史学家。,Validation,1.0,
Anthony Morris Clark,Anthony Morris Clark,Person,[Validation] 艺术史学家 (罗马18世纪艺术专家)。,Validation,1.0,
Anthony Radcliffe,Anthony Radcliffe,Person,[Validation] 博物馆策展人 (V&A)。,Validation,1.0,
Anthony van Dyck,Anthony van Dyck,Person,[Validation] 画家。,Validation,1.0,
Anti-papal satire in reign of Alexander VII,Anti-papal satire (Alexander VII),Work/Concept,[Validation] 历史文献/概念。,Validation,0.82,
Antichiesetta,Antichiesetta (San Marco),Place,[Context] 圣马可教堂的前厅部分。,Context,0.68,
Antichita di Palazzi,Antichità di Palazzi,Work,"[OCR Fix] 可能是 ""Antichità di Roma"" 或具体的宫殿考古著作。",OCR Fix,0.95,
Antinous,Antinous,Person,[Validation] 哈德良皇帝的宠臣/神化人物。,Validation,1.0,
Antoine Coypel,Antoine Coypel,Person,[Validation] 法国画家。,Validation,1.0,
Antoine Dumesnil,Antoine Dumesnil,Person,[Validation] 18世纪学者/作家。,Validation,1.0,
Antoine Joseph,Antoine-Joseph Dezallier d'Argenville,Person,[Disambiguation] 极可能是 d'Argenville (理论家/园林专家)。,Disambiguation,0.51,
Antoine Pesne,Antoine Pesne,Person,[Validation] 法国/普鲁士宫廷画家。,Validation,1.0,
Antoine Seilern,Antoine Seilern,Person,[Validation] 收藏家 (Count Seilern)。,Validation,1.0,
Anton Domenico Gabbiani,Anton Domenico Gabbiani,Person,[Validation] 佛罗伦萨画家。,Validation,1.0,
Anton Florian,"Anton Florian, Prince of Liechtenstein",Person,[Full Name] 列支敦士登亲王。,Full Name,0.51,Low_Similarity; 
Anton Francesco Farsetti,Anton Francesco Farsetti,Person,[Category Fix] 原文误标为 Place。威尼斯收藏家。,Category Fix,1.0,
Anton Francesco Goli,Anton Francesco Goli,Person,[Validation] 历史人物。,Validation,1.0,
Anton Maria Zanetti,Anton Maria Zanetti (the Elder),Person,[Disambiguation] 老扎内蒂 (鉴赏家/版画家)。,Disambiguation,0.76,
Anton Neumayr von Flessen Seilbitz,Anton Neumayr,Person,[Validation] 奥地利艺术评论家。,Validation,0.55,Low_Similarity; 
Anton Raphael Mengs,Anton Raphael Mengs,Person,[Validation] 新古典主义画家。,Validation,1.0,
"Antonazzi, Antonio Maria",Antonio Maria Antoniazzi,Person,[Reconstruction] 名字倒装复原。,Reconstruction,0.54,Low_Similarity; 
Antonello da Messina,Antonello da Messina,Person,[Validation] 文艺复兴画家。,Validation,1.0,
Antonia Spadafora,Antonia Spadafora,Person,[Validation] 西西里贵族。,Validation,1.0,
Antonino Bertolotti,Antonino Bertolotti,Person,[Validation] 档案学家 (罗马艺术史资料)。,Validation,1.0,
Antonino Santangelo,Antonino Santangelo,Person,[Validation] 艺术史学家。,Validation,1.0,
Antonio Abbondi,Antonio Abbondi (Scarpagnino),Person,[Validation] 建筑师。,Validation,0.68,
Antonio Balestra,Antonio Balestra,Person,[Validation] 维罗纳画家。,Validation,1.0,
Antonio Barberini,Antonio Barberini,Person,[Validation] 枢机主教。,Validation,1.0,
Antonio Battistella,Antonio Battistella,Person,[Validation] 历史学家/档案学家。,Validation,1.0,
Antonio Beccari,Antonio Beccari,Person,[Validation] 诗人/文人。,Validation,1.0,
Antonio Bellucci,Antonio Bellucci,Person,[Validation] 威尼斯画家。,Validation,1.0,
Antonio Beni,Antonio Beni,Person,[Validation] 建筑师/工程师。,Validation,1.0,
Antonio Canal,Canaletto (Antonio Canal),Person,[Disambiguation] 卡纳莱托。,Disambiguation,0.68,
Antonio Canova,Antonio Canova,Person,[Validation] 新古典主义雕塑家。,Validation,1.0,
Antonio Cappello,Antonio Cappello,Person,[Validation] 威尼斯政治家。,Validation,1.0,
Antonio Corradini,Antonio Corradini,Person,[Validation] 雕塑家 (蒙面纱的基督)。,Validation,1.0,
Antonio Dardani,Antonio Dardani,Person,[Validation] 画家。,Validation,1.0,
Antonio Del Grande,Antonio Del Grande,Person,[Validation] 罗马建筑师。,Validation,1.0,
Antonio Ermolao Paoletti,Antonio Ermolao Paoletti,Person,[Validation] 威尼斯风俗画家。,Validation,1.0,
Antonio Francesco Gori,Antonio Francesco Gori,Person,[Validation] 古物学家 (Museum Florentinum)。,Validation,1.0,
Antonio Franchi,Antonio Franchi,Person,[Validation] 卢卡画家/理论家。,Validation,1.0,
Antonio Gai,Antonio Gai,Person,[Validation] 威尼斯雕塑家。,Validation,1.0,
Antonio Genovesi,Antonio Genovesi,Person,[Validation] 哲学家/经济学家。,Validation,1.0,
Antonio Giussani,Antonio Giussani,Person,[Validation] 建筑师 (20世纪初修复者，需确认上下文是否指古代同名者)。,Validation,1.0,
Antonio Grimani,Antonio Grimani,Person,[Validation] 威尼斯总督。,Validation,1.0,
Antonio Joli,Antonio Joli,Person,[Validation] 维杜塔画家。,Validation,1.0,
Antonio Lombardo,Antonio Lombardo,Person,[Validation] 雕塑家。,Validation,1.0,
Antonio Longo,Antonio Longo,Person,[Validation] 牧师/画家 (Trentino)。,Validation,1.0,
Antonio Loredan,Antonio Loredan,Person,[Validation] 威尼斯政治家。,Validation,1.0,
Antonio Lorenzini,Antonio Lorenzini,Person,[Validation] 版画家。,Validation,1.0,
Antonio Maria Antoniazzi,Antonio Maria Antoniazzi,Person,[Validation] 天文学家/学者。,Validation,1.0,
Antonio Maria Marini,Antonio Maria Marini,Person,[Validation] 风景画家。,Validation,1.0,
Antonio Maria Vassallo,Antonio Maria Vassallo,Person,[Validation] 热那亚画家。,Validation,1.0,
Antonio Maria Zanetti,Antonio Maria Zanetti (the Younger),Person,[Disambiguation] 小扎内蒂 (图书馆员/学者)。,Disambiguation,0.75,
Antonio Molinari,Antonio Molinari,Person,[Validation] 威尼斯画家。,Validation,1.0,
Antonio Morassi,Antonio Morassi,Person,[Validation] 艺术史学家。,Validation,1.0,
Antonio Palomino,Antonio Palomino,Person,[Validation] 西班牙画家/传记作家。,Validation,1.0,
Antonio Paluello,Antonio Paluello,Person,[Validation] 威尼斯贵族/收藏家。,Validation,1.0,
Antonio Petito,Antonio Petito,Person,[Validation] 著名的Pulcinella演员。,Validation,1.0,
Antonio Pisanello,Pisanello,Person,[Disambiguation] 皮萨内洛。,Disambiguation,0.69,
Antonio Pitteri,Giovanni Marco Pitteri,Person,"[OCR Fix] ""Antonio"" 可能是 ""Marco"" 的误植，或指 Antonio Pitteri (较不知名)。倾向于 Marco Pitteri (威尼斯版画家)。",OCR Fix,0.7,
Antonio Ruffo,Antonio Ruffo,Person,[Validation] 西西里著名收藏家 (Rembrandt赞助人)。,Validation,1.0,
Antonio Schinella Conti,Antonio Schinella Conti (Abate Conti),Person,[Validation] 作家/哲学家。,Validation,0.77,
Antonio Triva,Antonio Triva,Person,[Validation] 画家。,Validation,1.0,
Antonio Vallisneri,Antonio Vallisneri,Person,[Validation] 科学家/医生。,Validation,1.0,
Antonio Verrio,Antonio Verrio,Person,[Validation] 意大利-英国巴洛克画家。,Validation,1.0,
Antonio Visentini,Antonio Visentini,Person,[Validation] 建筑师/版画家。,Validation,1.0,
Antonio Zanchi,Antonio Zanchi,Person,[Validation] 威尼斯“暗色派”画家。,Validation,1.0,
Antonio Zatta,Antonio Zatta,Person,[Validation] 威尼斯出版商。,Validation,1.0,
Antonio Zucchi,Antonio Zucchi,Person,[Validation] 画家 (Angelica Kauffman之夫)。,Validation,1.0,
Antonio da Correggio,Correggio,Person,[Disambiguation] 柯雷乔。,Disambiguation,0.62,
Antonio del Rosso,Antonio del Rosso,Person,[Validation] 佛罗伦萨建筑师/工程师。,Validation,1.0,
John Walker,John Walker,Person,[Validation] 艺术史学家/策展人 (National Gallery of Art)。,Validation,1.0,
John Webster,John Webster,Person,[Validation] 剧作家。,Validation,1.0,
John Woodward,John Woodward,Person,[Validation] 地质学家/收藏家 (Gems)。,Validation,1.0,
John the Baptist,Saint John the Baptist,Person,[Validation] 圣徒。,Validation,0.84,
Joint caricature of Simonelli and Mola,Joint caricature of Simonelli and Mola,Work,[Validation] 讽刺画。,Validation,1.0,
Josef Grisar,Josef Grisar,Person,[Validation] 耶稣会历史学家 (Papal finance)。,Validation,1.0,
Joseph Addison,Joseph Addison,Person,[Validation] 作家/政治家。,Validation,1.0,
Joseph Perrot,Joseph Perrot,Person,[Validation] 画家/人物。,Validation,1.0,
Joseph Smith,Joseph Smith (Consul),Person,[Disambiguation] 英国驻威尼斯领事/收藏家。,Disambiguation,0.73,
Joseph Sold by his Brothers,Joseph Sold by his Brothers,Work,[Validation] 绘画主题。,Validation,1.0,
Joseph Valfrey,Joseph Valfrey,Person,[Check Original] 可能是 Joseph Valfrey 或 Valfré? 待定。,Check Original,1.0,
Joseph Vernet,Claude-Joseph Vernet,Person,[Disambiguation] 法国风景画家。,Disambiguation,0.79,
Joseph Wagner,Joseph Wagner,Person,[Validation] 威尼斯版画家 (Wagner workshop)。,Validation,1.0,
Joseph and Potiphar's Wife,Joseph and Potiphar's Wife,Work,[Validation] 绘画主题。,Validation,1.0,
Joseph de Guibert,Joseph de Guibert,Person,[Validation] 耶稣会历史学家 (Jesuit spirituality)。,Validation,1.0,
Joshua Reynolds,Joshua Reynolds,Person,[Validation] 英国画家。,Validation,1.0,
Juan de Pareja,Juan de Pareja,Person,[Validation] 西班牙画家 (Velázquez助手)。,Validation,1.0,
"Juan de Tassis, 2nd Count of Villamediana","Juan de Tassis y Peralta, 2nd Count of Villamediana",Person,[Full Name] 西班牙诗人/外交官。,Full Name,0.89,
Juan van der Hamen,Juan van der Hamen,Person,[Validation] 西班牙静物画家。,Validation,1.0,
Judith,Judith,Person,[Validation] 圣经人物。,Validation,1.0,
Judith shows the people the head of Holofernes,Judith shows the people the head of Holofernes,Work,[Validation] 绘画主题。,Validation,1.0,
Judith with the Head of Holofernes,Judith with the Head of Holofernes,Work,[Validation] 绘画主题。,Validation,1.0,
Judith with the head of Holofernes,Judith with the Head of Holofernes,Work,[Validation] 绘画主题。,Validation,1.0,
